Country,Literacy Rate,Physician Density,GDP (Current USD),GDP Growth (% Annual),GDP per Capita (Current USD),GDP per Capita Category,Unemployment Rate (%),Continent
Afghanistan,43.0,0.28,17233051620.0,2.710886791,415.7074171,Very Low,13.991,Asia
Albania,98.1,1.2,23547179830.0,3.936625257,8575.171134,Mid,10.108,Europe
Algeria,81.4,1.72,247626000000.0,4.1,5364.02795,Low,11.701,Africa
Andorra,100.0,3.33,3785067332.0,2.58355481,46812.44845,High,3.7,Europe
Angola,71.1,0.21,84824654482.0,1.00128936,2308.159767,Low,14.537,Africa
Antigua and Barbuda,99.0,2.76,2033085185.0,3.862012187,21787.10173,High,7.7,North America
Argentina,99.0,3.96,646075000000.0,-1.611001621,14187.48273,Mid,6.139,South America
Armenia,99.8,4.4,24085749592.0,8.3,8053.010663,Mid,13.245,Asia
Australia,99.0,3.68,1728060000000.0,3.4419922,64820.91179,Very High,3.668,Oceania
Austria,98.0,5.17,511685000000.0,-0.954962367,56033.57379,Very High,5.264,Europe
Azerbaijan,99.8,3.45,72356176471.0,1.123974327,7125.908584,Mid,5.636,Asia
The Bahamas,95.6,1.94,14338500000.0,2.639055981,35896.50511,High,8.643,North America
Bahrain,95.7,0.93,46079867021.0,2.980792767,29218.86056,High,1.154,Asia
Bangladesh,75.9,0.58,437415000000.0,5.77511237,2551.017727,Low,4.454,Asia
Barbados,99.6,2.48,6720733200.0,4.09382011,23804.02499,High,7.878,North America
Belarus,100.0,5.19,71857382746.0,3.886242145,7829.053137,Mid,3.461,Europe
Belgium,99.0,3.07,644783000000.0,1.251700632,54700.90932,Very High,5.528,Europe
Belize,82.1,1.12,3066850000.0,1.149016821,7459.998151,Mid,8.267,North America
Benin,42.4,0.08,19676049076.0,6.352821609,1394.373302,Very Low,1.657,Africa
Bhutan,68.4,0.42,2328700464.923077,4.54621741976923,3115.1196784615386,Low,3.126,Asia
Bolivia,92.5,1.59,45135398009.0,3.081965241,3686.279965,Low,3.024,South America
Bosnia and Herzegovina,98.5,2.16,27514782476.0,2.211124472,8638.666202,Mid,10.668,Europe
Botswana,88.5,0.37,19396084498.0,2.73379817,7820.232404,Mid,23.381,Africa
Brazil,93.2,2.15,2173670000000.0,2.908480487,10294.86668,Mid,7.947,South America
Brunei,97.2,1.61,15128292981.0,1.407068323,32962.90651,High,5.183,Asia
Bulgaria,98.0,4.03,102408000000.0,1.886814839,15885.53913,Mid,4.319,Europe
Burkina Faso,41.2,0.08,20324617845.0,2.960181474,882.6898101,Very Low,5.348,Africa
Burundi,68.4,0.1,2642161669.0,2.700000597,193.0071456,Very Low,1.9,Africa
Ivory Coast,89.9,0.23,78875489245.0,6.2,2530.846593,Low,2.27,Africa
Cape Verde,87.6,0.77,2533819406.0,5.475435916,4850.984158,Low,11.971,Africa
Cambodia,83.9,0.17,42335646896.0,4.960066589,2429.748535,Low,0.225,Asia
Cameroon,77.1,0.09,49279410983.0,3.248344978,1736.860911,Very Low,3.613,Africa
Canada,99.0,2.61,2142470000000.0,1.248927304,53431.18571,Very High,5.415,North America
Central African Republic,37.4,0.06,2555492085.0,0.870251451,495.9788972,Very Low,5.877,Africa
Chad,26.8,0.04,13149325362.0,4.12231962,680.6398779,Very Low,1.074,Africa
Chile,97.0,2.59,335533000000.0,0.218780667,17067.81362,Mid,9.013,South America
China,97.2,1.98,17794800000000.0,5.249557864,12614.06174,Mid,4.67,Asia
Colombia,94.6,2.18,363494000000.0,0.610409566,6947.359287,Low,9.594,South America
Comoros,58.8,0.27,1352380971.0,2.995674572,1590.312377,Very Low,3.776,Africa
Republic of the Congo,80.3,0.12,15321055823.0,1.906864263,2477.978455,Low,19.898,Africa
Costa Rica,97.9,2.89,86497941439.0,5.111921832,16942.02681,Mid,8.325,North America
Croatia,99.3,3.0,84393795502.0,3.302544881,21865.45628,High,6.086,Europe
